article_id,positive_sentiment,negative_sentiment,organizations,persons,locations,timestamp,longitude,latitude
20191117203000-649,3.1586503948313,2.4407753050969103,accounting agency;army air corps;u s army;cnn;american battle monuments commission,christina zdanowicz;piero fabbri;hans wronka;loren hintz;daniel davenport;gretchen wronka;martin hintz;ernesto g gonzalez,"Bagnarola, Friuli-Venezia Giulia, Italy;Germany;Minnesota, United States;Italy;Wisconsin, United States;United States;Iowa, United States",20191117203000,12.8569,45.8708
20200106061500-1174,8.71212121212121,4.5454545454545485,hollywood foreign press association;cnn,joaquin phoenix;todd phillips;rooney mara,"Hollywood, California, United States;Australia;Palm Springs, California, United States",20200106061500,-118.32700000000001,34.0983
20191018004500-1376,1.4492753623188401,3.7681159420289903,twitter,onitsha anambra;nkiru ukwu,"Lagos, Lagos, Nigeria;Abule Egba, Nigeria (General), Nigeria;Nigeria;Ochanja, Kogi, Nigeria",20191018004500,3.39583,6.45306
20190815053000-1570,1.97530864197531,5.432098765432099,,narendra modi;imran khan,"Jammu, Jammu And Kashmir, India;Red Fort, Delhi, India;Indiana, United States;Pakistan;Kashmir, Jammu And Kashmir, India",20190815053000,74.8667,32.7333
20191212100000-466,0.0,6.41025641025641,cnn;york police department;barnard college,,,20191212100000,,
20190206194500-498,5.02283105022831,1.3698630136986298,starbucks;cnn;inventhelp invention submission services,howard schultz;donald trump;poppy harlow,"Houston, Texas, United States;Texas, United States;Washington, Washington, United States",20190206194500,-95.3633,29.7633
20190110034500-827,3.51437699680511,4.79233226837061,,theresa may;barry gardiner;shinzo abe,Japan;United Kingdom,20190110034500,138.0,36.0
20191116104500-446,2.3958717287136,2.2852930335422004,boeing;friendly;singapore airline;melbourne monash university;qantas;cnn;university of sydney charles perkins centre;airbus,corinne caillaud;richard quest;alan joyce;james d morgan;tracey sletten,"New York, United States;Kazakhstan;Qatar;Australia;Doha, Ad Daw?Ah, Qatar;Philippines;Hong Kong;Paris, France (General), France;United Kingdom;Heathrow, Hillingdon, United Kingdom;Belarus;China;Cape Town, Western Cape, South Africa;Indonesia;Russia;Oman;Sri Lanka;London, London, City Of, United Kingdom;Monash, South Australia, Australia;Santiago, RegiÃ³Etropolitana, Chile;Rio De Janeiro, Estado Do Rio, Brazil;Sydney, New South Wales, Australia;Singapore;Bangkok, Krung Thep Mahanakhon, Thailand;Perth, Western Australia, Australia;Dallas, Texas, United States;Poland;Turkey",20191116104500,-74.9384,42.1497
20190222094500-658,1.47058823529412,5.14705882352941,,mary starks;getty imagescopyright,,20190222094500,,
20190806234500-1621,2.77777777777778,5.882352941176469,syrian democratic;cnn,donald trump,"Iraq;United States;Syria;Russia;Iran;Washington, Washington, United States;Turkey",20190806234500,44.0,33.0
